name,native notation,kbsm,affine,arrow,mock,yamada,flip,mirror,unique,mutant,kiral,rotatable
7_57,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d3 e3 b2) d=X(b3 e2 f3 c1) e=X(g3 f0 d1 c2) f=X(e1 h0 g0 d2) g=X(f2 h2 h1 e0) h=X(f1 g2 g1 i0) i=V(h3) ['name'='7_57'],-A**26 + 3*A**22 + 2*A**20 - 4*A**18 - 6*A**16 + 2*A**14 + 8*A**12 + 3*A**10 - 4*A**8 - 3*A**6 + A**2,2*t - 4 + 2/t,-A**8 + 3*A**4 + 2*A**2*L1 - 4 - 6*L1/A**2 + 2/A**4 + 8*L1/A**6 + 3/A**8 - 4*L1/A**10 - 3/A**12 + A**(-16),w**6 + 2*w**5 - 2*w**4 - 6*w**3 + 2*w**2 + 8*w + 1 - 4/w - 1/w**2,-A**27 + A**26 + 4*A**25 - 6*A**24 - 5*A**23 + 15*A**22 - 4*A**21 - 19*A**20 + 19*A**19 + 7*A**18 - 23*A**17 + 9*A**16 + 10*A**15 - 13*A**14 - 4*A**13 + 6*A**12 + 5*A**11 - 17*A**10 + 3*A**9 + 20*A**8 - 20*A**7 - 5*A**6 + 22*A**5 - 9*A**4 - 9*A**3 + 10*A**2 + A - 3,7_57,7_1113,True,False,True,True
0_1,a=V(b0) b=V(a0) ['name'='0_1'],1,0,1,1,-A**4 - A**3 - 2*A**2 - A - 1,0_1,0_1,True,False,False,True
7_157,a=V(b0) b=X(a0 c0 d3 c1) c=X(b1 b3 d2 e0) d=X(f3 e1 c2 b2) e=X(c3 d1 f2 g0) f=X(h3 g1 e2 d0) g=X(e3 f1 h1 h0) h=X(g3 g2 i0 f0) i=V(h2) ['name'='7_157'],-A**16 + 2*A**12 + 2*A**10 - 2*A**6 - A**4 + 1,2*t - 4 + 2/t,-A**4 + 2 + 2*L1/A**2 - 2*L1/A**6 - 1/A**8 + A**(-12),2 + 2/w - 2/w**3 - 1/w**4,-A**19 + 2*A**17 - A**16 - A**15 + 2*A**14 - A**13 - A**12 + A**11 - A**10 - 2*A**8 - A**6 - 3*A**5 + A**4 - 2*A**2 + A + 1,7_157,7_1967,True,False,True,True
5_9,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 e3 b2) d=X(b3 f0 f3 g0) e=X(c1 f2 f1 c2) f=X(d1 e2 e1 d2) g=V(d3) ['name'='5_9'],A**22 + A**14 - A**10 + A**6 - A**2,0,A**(-8) + A**(-16) - 1/A**20 + A**(-24) - 1/A**28,w**4 - w**2 + 1 - 1/w**2 + w**(-4),A**19 + A**18 + 2*A**17 + 2*A**16 + 2*A**15 + A**14 + A**13 - A**8 - A**7 - 2*A**6 - A**5 - A**4 + A**2 + 1,5_9,5_25,True,False,True,True
5_11,a=V(b0) b=X(a0 c0 d3 c1) c=X(b1 b3 e3 e2) d=X(e1 f0 f2 b2) e=X(f1 d0 c3 c2) f=X(d1 e0 d2 g0) g=V(f3) ['name'='5_11'],-A**18 - A**16 + 2*A**14 + 3*A**12 - 3*A**8 - A**6 + A**4 + A**2,0,-A**12 - A**10*L1 + 2*A**8 + 3*A**6*L1 - 3*A**2*L1 - 1 + L1/A**2 + A**(-4),-w**2 - 2*w + 2 + 4/w + w**(-2) - 2/w**3 - 1/w**4,-A**23 + A**22 + A**21 - 3*A**20 + 2*A**19 + 2*A**18 - 4*A**17 + 2*A**16 + 2*A**15 - 2*A**14 + A**13 + 2*A**11 - A**10 + 4*A**8 - 2*A**7 - A**6 + 4*A**5 - A**4 - A**3 + 2*A**2 - 1,5_11,5_27,True,False,True,True
7_184,a=V(b0) b=X(a0 c3 d3 d2) c=X(d1 e0 e3 b1) d=X(f3 c0 b3 b2) e=X(c1 g0 g3 c2) f=X(h3 h2 g1 d0) g=X(e1 f2 h0 e2) h=X(g2 i0 f1 f0) i=V(h1) ['name'='7_184'],-A**25 + 2*A**21 - 4*A**17 - 2*A**15 + 4*A**13 + 4*A**11 - 3*A**9 - 4*A**7 + 2*A**3 + A,2*t - 4 + 2/t,A**(-8) - 2/A**12 + 4/A**16 + 2*L1/A**18 - 4/A**20 - 4*L1/A**22 + 3/A**24 + 4*L1/A**26 - 2*L1/A**30 - 1/A**32,3*w**4 + 2*w**3 - 4*w**2 - 4*w + 3 + 4/w - 2/w**2 - 2/w**3 + w**(-4),3*A**27 + A**26 - 5*A**25 + 3*A**24 + 9*A**23 - 8*A**22 - A**21 + 13*A**20 - 7*A**19 - 4*A**18 + 8*A**17 - 2*A**16 - 3*A**15 - A**14 + 8*A**13 - 3*A**12 - 8*A**11 + 10*A**10 - A**9 - 12*A**8 + 5*A**7 + 4*A**6 - 7*A**5 + A**4 + 3*A**3 - A**2 + 1,7_184,7_382,True,False,True,True
3_2,a=V(b0) b=X(a0 c0 d3 d2) c=X(b1 e0 d1 d0) d=X(c3 c2 b3 b2) e=V(c1) ['name'='3_2'],A**13 - A**9 - A,0,-A**16 + A**12 + A**4,w**2 - 1 + w**(-2),-A**13 + A**10 + 2*A**9 + A**8 + A**7 - A**6 - A**5 - 2*A**4 - 2*A**3 - 2*A**2 - A - 1,3_2,3_3,True,False,True,True
6_69,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e3 b2) d=X(e2 f0 c1 b3) e=X(g3 g2 d0 c2) f=X(d1 g1 h0 g0) g=X(f3 f1 e1 e0) h=V(f2) ['name'='6_69'],-A**18 - 2*A**16 + A**14 + 4*A**12 + 2*A**10 - 2*A**8 - 2*A**6 + A**2,0,-A**12 - 2*A**10*L1 + A**8 + 4*A**6*L1 + 2*A**4 - 2*A**2*L1 - 2 + A**(-4),-2*w + 4/w + 2/w**2 - 2/w**3 - 1/w**4,-A**22 - A**21 + 3*A**20 - 3*A**18 + 4*A**17 + 2*A**16 - 4*A**15 + 2*A**14 + A**13 - 3*A**12 - A**10 + A**9 - 4*A**8 - A**7 + 3*A**6 - 5*A**5 - A**4 + 4*A**3 - 2*A**2 - A + 1,6_69,6_253,True,False,True,True
7_382,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e3 b2) d=X(f3 f2 c1 b3) e=X(g3 h0 h3 c2) f=X(g1 g0 d1 d0) g=X(f1 f0 h2 e0) h=X(e1 i0 g2 e2) i=V(h1) ['name'='7_382'],-A**26 - 2*A**24 + 4*A**20 + 3*A**18 - 4*A**16 - 4*A**14 + 2*A**12 + 4*A**10 - 2*A**6 + A**2,-2*t + 4 - 2/t,-A**32 - 2*A**30*L1 + 4*A**26*L1 + 3*A**24 - 4*A**22*L1 - 4*A**20 + 2*A**18*L1 + 4*A**16 - 2*A**12 + A**8,w**4 - 2*w**3 - 2*w**2 + 4*w + 3 - 4/w - 4/w**2 + 2/w**3 + 3/w**4,-A**27 + A**25 - 3*A**24 - A**23 + 7*A**22 - 4*A**21 - 5*A**20 + 12*A**19 + A**18 - 10*A**17 + 8*A**16 + 3*A**15 - 8*A**14 + A**13 + 3*A**12 + 2*A**11 - 8*A**10 + 4*A**9 + 7*A**8 - 13*A**7 + A**6 + 8*A**5 - 9*A**4 - 3*A**3 + 5*A**2 - A - 3,7_382,7_184,True,False,True,True
6_98,a=V(b0) b=X(a0 c3 d3 e0) c=X(e3 f0 g0 b1) d=X(g3 f2 e1 b2) e=X(b3 d2 f1 c0) f=X(c1 e2 d1 g2) g=X(c2 h0 f3 d0) h=V(g1) ['name'='6_98'],-A**18 + 3*A**14 - 4*A**10 - 2*A**8 + 4*A**6 + 4*A**4 - A**2 - 2,0,-A**12 + 3*A**8 - 4*A**4 - 2*A**2*L1 + 4 + 4*L1/A**2 - 1/A**4 - 2*L1/A**6,w**4 - 4*w**2 - 2*w + 6 + 4/w - 2/w**2 - 2/w**3,3*A**24 - A**23 - 7*A**22 + 4*A**21 + 3*A**20 - 9*A**19 + 3*A**18 + 6*A**17 - 3*A**16 + 2*A**15 + 4*A**14 + 4*A**13 - 4*A**12 + 6*A**10 - 7*A**9 - 3*A**8 + 8*A**7 - 2*A**6 - 4*A**5 + 4*A**4 + 2*A**3 - 3*A**2 - A + 1,6_98,6_28,True,False,True,True
7_400,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 f3 b2) d=X(f2 g0 e1 b3) e=X(c1 d2 g3 h0) f=X(h3 h2 d0 c2) g=X(d1 h1 i0 e2) h=X(e3 g1 f1 f0) i=V(g2) ['name'='7_400'],2*A**20 + A**18 - 4*A**16 - 3*A**14 + 2*A**12 + 4*A**10 - 2*A**6 + A**2,0,2*A**14*L1 + A**12 - 4*A**10*L1 - 3*A**8 + 2*A**6*L1 + 4*A**4 - 2 + A**(-4),2*w**3 + 2*w**2 - 4*w - 4 + 2/w + 4/w**2 - 1/w**4,-A**25 - A**24 + 3*A**23 + 2*A**22 - 3*A**21 - A**20 + 5*A**19 - 3*A**18 - 7*A**17 + 6*A**16 - 4*A**14 + 3*A**13 + 2*A**12 - 3*A**10 + 4*A**9 - 8*A**7 + 2*A**6 + 3*A**5 - 6*A**4 - A**3 + 4*A**2 - 2,7_400,7_953,True,False,True,True
7_472,a=V(b0) b=X(a0 c3 d3 d2) c=X(d1 e0 f3 b1) d=X(f2 c0 b3 b2) e=X(c1 g0 h0 f0) f=X(e3 g1 d0 c2) g=X(e1 f1 h3 h2) h=X(e2 i0 g3 g2) i=V(h1) ['name'='7_472'],-2*A**18 - 3*A**16 + 2*A**14 + 6*A**12 + 2*A**10 - 4*A**8 - 4*A**6 + A**4 + 2*A**2 + 1,-2*t + 4 - 2/t,-2*A**30*L1 - 3*A**28 + 2*A**26*L1 + 6*A**24 + 2*A**22*L1 - 4*A**20 - 4*A**18*L1 + A**16 + 2*A**14*L1 + A**12,w**4 - 2*w**3 - 3*w**2 + 2*w + 5 + 2/w - 4/w**2 - 4/w**3 + w**(-4) + 2/w**5 + w**(-6),-A**29 - A**28 + A**27 + 3*A**26 - 3*A**25 - 5*A**24 + 8*A**23 + 2*A**22 - 12*A**21 + 9*A**20 + 7*A**19 - 8*A**18 + 3*A**17 + 5*A**16 - 8*A**14 + 3*A**13 + 5*A**12 - 11*A**11 + 10*A**9 - 7*A**8 - 7*A**7 + 7*A**6 - 7*A**4 + A**3 + 2*A**2 - A - 1,7_472,7_932,True,False,True,True
7_475,a=V(b0) b=X(a0 c0 d3 d2) c=X(b1 e0 f3 f2) d=X(g3 g2 b3 b2) e=V(c1) f=X(h3 h2 c3 c2) g=X(i3 i2 d1 d0) h=X(i1 i0 f1 f0) i=X(h1 h0 g1 g0) ['name'='7_475'],-A**28 + A**24 - A**20 + A**16 - A**12 + A**8 + 1,0,-A**40 + A**36 - A**32 + A**28 - A**24 + A**20 + A**12,w**6 - w**4 + w**2 - 1 + w**(-2) - 1/w**4 + w**(-6),-A**25 - A**23 + A**19 + A**18 + 2*A**17 + A**16 + A**15 - A**6 - A**5 - 2*A**4 - 2*A**3 - 2*A**2 - A - 1,7_475,7_594,True,False,True,True
5_25,a=V(b0) b=X(a0 c0 d3 d2) c=X(b1 e0 f3 f2) d=X(g3 g2 b3 b2) e=V(c1) f=X(g1 g0 c3 c2) g=X(f1 f0 d1 d0) ['name'='5_25'],-A**22 + A**18 - A**14 + A**10 + A**2,0,-A**28 + A**24 - A**20 + A**16 + A**8,w**4 - w**2 + 1 - 1/w**2 + w**(-4),-A**19 - A**17 + A**15 + A**14 + 2*A**13 + A**12 + A**11 - A**6 - A**5 - 2*A**4 - 2*A**3 - 2*A**2 - A - 1,5_25,5_9,True,False,True,True
7_491,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 e3 b2) d=X(f0 g0 e1 b3) e=X(c1 d2 f1 c2) f=X(d0 e2 h3 h2) g=X(d1 h1 i0 h0) h=X(g3 g1 f3 f2) i=V(g2) ['name'='7_491'],A**22 + 2*A**20 - A**18 - 4*A**16 - A**14 + 4*A**12 + 3*A**10 - 2*A**8 - 2*A**6 + A**2,2*t - 4 + 2/t,A**4 + 2*A**2*L1 - 1 - 4*L1/A**2 - 1/A**4 + 4*L1/A**6 + 3/A**8 - 2*L1/A**10 - 2/A**12 + A**(-16),-w**4 - 2*w**3 + w**2 + 6*w + 4 - 4/w - 3/w**2,-A**25 - A**24 + 3*A**23 - 5*A**21 + 4*A**20 + 4*A**19 - 8*A**18 + 2*A**17 + 5*A**16 - 7*A**15 - A**14 + 3*A**13 - 2*A**12 - 2*A**11 - A**10 + 5*A**9 - 4*A**8 - 5*A**7 + 9*A**6 - 3*A**5 - 5*A**4 + 6*A**3 - A**2 - 2*A + 1,7_491,7_1111,True,False,True,True
5_27,a=V(b0) b=X(a0 c3 d3 c0) c=X(b3 e0 e3 b1) d=X(f0 f2 e1 b2) e=X(c1 d2 f1 c2) f=X(d0 e2 d1 g0) g=V(f3) ['name'='5_27'],A**16 + A**14 - A**12 - 3*A**10 + 3*A**6 + 2*A**4 - A**2 - 1,0,A**4 + A**2*L1 - 1 - 3*L1/A**2 + 3*L1/A**6 + 2/A**8 - L1/A**10 - 1/A**12,-w**4 - 2*w**3 + w**2 + 4*w + 2 - 2/w - 1/w**2,A**23 - 2*A**21 + A**20 + A**19 - 4*A**18 + A**17 + 2*A**16 - 4*A**15 + A**13 - 2*A**12 - A**10 + 2*A**9 - 2*A**8 - 2*A**7 + 4*A**6 - 2*A**5 - 2*A**4 + 3*A**3 - A**2 - A + 1,5_27,5_11,True,False,True,True
5_30,a=V(b0) b=X(a0 c0 d3 c1) c=X(b1 b3 e3 d0) d=X(c3 e2 f3 b2) e=X(f2 f0 d1 c2) f=X(e1 g0 e0 d2) g=V(f1) ['name'='5_30'],A**16 + 2*A**14 - 4*A**10 - 2*A**8 + 2*A**6 + 3*A**4 - 1,0,A**4 + 2*A**2*L1 - 4*L1/A**2 - 2/A**4 + 2*L1/A**6 + 3/A**8 - 1/A**12,2*w + 2 - 4/w - 2/w**2 + 2/w**3 + w**(-4),A**23 - A**22 - 2*A**21 + 3*A**20 + A**19 - 4*A**18 + 4*A**17 + 3*A**16 - 4*A**15 + 2*A**14 + 2*A**13 - 2*A**12 + 3*A**9 - 2*A**8 + 6*A**6 - 4*A**5 - 2*A**4 + 4*A**3 - 2*A**2 - A + 1,5_30,5_54,True,False,True,True
6_149,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 f3 b2) d=X(g0 e2 e1 b3) e=X(c1 d2 d1 f0) f=X(e3 g2 g1 c2) g=X(d0 f2 f1 h0) h=V(g3) ['name'='6_149'],-2*A**19 - 2*A**17 + 2*A**15 + 3*A**13 - 3*A**9 + 2*A**5 - A,2*t - 4 + 2/t,2*L1/A**2 + 2/A**4 - 2*L1/A**6 - 3/A**8 + 3/A**12 - 2/A**16 + A**(-20),2*w**3 + 3*w**2 - 2*w - 4 + 3/w**2 - 1/w**4,-A**24 - A**23 + A**22 + A**21 - 2*A**20 + 3*A**18 - A**17 - 4*A**16 + 2*A**15 - A**14 - 5*A**13 + A**12 + A**11 - 2*A**10 + A**9 + 2*A**8 + 2*A**7 - 3*A**6 + 3*A**4 - 5*A**3 + 3*A - 1,6_149,6_310,True,False,True,True
