name,native notation,kbsm,affine,arrow,mock,yamada,flip,mirror,unique,mutant,kiral,rotatable,page,em,pd
7_284,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d3 e3 b2) d=X(b3 e2 f3 c1) e=X(g3 f0 d1 c2) f=X(e1 h0 g0 d2) g=X(f2 h2 h1 e0) h=X(f1 g2 g1 i0) i=V(h3) ['name'='7_284'],-A**26 + 3*A**22 + 2*A**20 - 4*A**18 - 6*A**16 + 2*A**14 + 8*A**12 + 3*A**10 - 4*A**8 - 3*A**6 + A**2,2*t - 4 + 2/t,-A**8 + 3*A**4 + 2*A**2*L1 - 4 - 6*L1/A**2 + 2/A**4 + 8*L1/A**6 + 3/A**8 - 4*L1/A**10 - 3/A**12 + A**(-16),w**6 + 2*w**5 - 2*w**4 - 6*w**3 + 2*w**2 + 8*w + 1 - 4/w - 1/w**2,-A**27 + A**26 + 4*A**25 - 6*A**24 - 5*A**23 + 15*A**22 - 4*A**21 - 19*A**20 + 19*A**19 + 7*A**18 - 23*A**17 + 9*A**16 + 10*A**15 - 13*A**14 - 4*A**13 + 6*A**12 + 5*A**11 - 17*A**10 + 3*A**9 + 20*A**8 - 20*A**7 - 5*A**6 + 22*A**5 - 9*A**4 - 9*A**3 + 10*A**2 + A - 3,7_284,*,True,False,True,True,403,"b0,a0c0c3d0,b1d3e3b2,b3e2f3c1,g3f0d1c2,e1h0g0d2,f2h2h1e0,f1g2g1i0,h3","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,4],X[8,9,6,5],X[9,10,11,7],X[11,12,13,8],X[10,13,12,14],V[14]"
0_1,a=V(b0) b=V(a0) ['name'='0_1'],1,0,1,1,-A**4 - A**3 - 2*A**2 - A - 1,0_1,0_1,True,False,False,True,1,"b0,a0","V[0],V[0]"
7_147,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d3 e3 b2) d=X(b3 f0 e0 c1) e=X(d2 f3 g3 c2) f=X(d1 h0 g0 e1) g=X(f2 h3 h1 e2) h=X(f1 g2 i0 g1) i=V(h2) ['name'='7_147'],A**18 - A**14 - 2*A**12 + 2*A**8 + 2*A**6 - A**2,-2*t + 4 - 2/t,A**12 - A**8 - 2*A**6*L1 + 2*A**2*L1 + 2 - 1/A**4,-w**4 - 2*w**3 + 2*w + 2,-A**19 - A**18 + 2*A**17 - A**15 + 3*A**14 + A**13 + 2*A**11 + A**9 - A**8 + A**7 + A**6 - 2*A**5 + A**4 + A**3 - 2*A**2 + 1,7_147,*,True,False,True,True,266,"b0,a0c0c3d0,b1d3e3b2,b3f0e0c1,d2f3g3c2,d1h0g0e1,f2h3h1e2,f1g2i0g1,h2","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,4],X[7,8,9,5],X[6,10,11,8],X[11,12,13,9],X[10,13,14,12],V[14]"
5_1,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e0 e3 b2) d=X(b3 f0 f3 g0) e=X(c1 f2 f1 c2) f=X(d1 e2 e1 d2) g=V(d3) ['name'='5_1'],A**22 + A**14 - A**10 + A**6 - A**2,0,A**(-8) + A**(-16) - 1/A**20 + A**(-24) - 1/A**28,w**4 - w**2 + 1 - 1/w**2 + w**(-4),A**19 + A**18 + 2*A**17 + 2*A**16 + 2*A**15 + A**14 + A**13 - A**8 - A**7 - 2*A**6 - A**5 - A**4 + A**2 + 1,5_1,*,True,False,True,True,13,"b0,a0c0c3d0,b1e0e3b2,b3f0f3g0,c1f2f1c2,d1e2e1d2,d3","V[0],X[0,1,2,3],X[1,4,5,2],X[3,6,7,8],X[4,9,10,5],X[6,10,9,7],V[8]"
5_24,a=V(b0) b=X(a0 c0 d3 c1) c=X(b1 b3 e3 e2) d=X(e1 f0 f2 b2) e=X(f1 d0 c3 c2) f=X(d1 e0 d2 g0) g=V(f3) ['name'='5_24'],-A**18 - A**16 + 2*A**14 + 3*A**12 - 3*A**8 - A**6 + A**4 + A**2,0,-A**12 - A**10*L1 + 2*A**8 + 3*A**6*L1 - 3*A**2*L1 - 1 + L1/A**2 + A**(-4),-w**2 - 2*w + 2 + 4/w + w**(-2) - 2/w**3 - 1/w**4,-A**23 + A**22 + A**21 - 3*A**20 + 2*A**19 + 2*A**18 - 4*A**17 + 2*A**16 + 2*A**15 - 2*A**14 + A**13 + 2*A**11 - A**10 + 4*A**8 - 2*A**7 - A**6 + 4*A**5 - A**4 - A**3 + 2*A**2 - 1,5_24,*,True,False,True,True,36,"b0,a0c0d3c1,b1b3e3e2,e1f0f2b2,f1d0c3c2,d1e0d2g0,f3","V[0],X[0,1,2,3],X[1,3,4,5],X[6,7,8,2],X[9,6,5,4],X[7,9,8,10],V[10]"
7_119,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e3 b2) d=X(f3 f2 c1 b3) e=X(g3 h0 h3 c2) f=X(g1 g0 d1 d0) g=X(f1 f0 h2 e0) h=X(e1 i0 g2 e2) i=V(h1) ['name'='7_119'],-A**26 - 2*A**24 + 4*A**20 + 3*A**18 - 4*A**16 - 4*A**14 + 2*A**12 + 4*A**10 - 2*A**6 + A**2,-2*t + 4 - 2/t,-A**32 - 2*A**30*L1 + 4*A**26*L1 + 3*A**24 - 4*A**22*L1 - 4*A**20 + 2*A**18*L1 + 4*A**16 - 2*A**12 + A**8,w**4 - 2*w**3 - 2*w**2 + 4*w + 3 - 4/w - 4/w**2 + 2/w**3 + 3/w**4,-A**27 + A**25 - 3*A**24 - A**23 + 7*A**22 - 4*A**21 - 5*A**20 + 12*A**19 + A**18 - 10*A**17 + 8*A**16 + 3*A**15 - 8*A**14 + A**13 + 3*A**12 + 2*A**11 - 8*A**10 + 4*A**9 + 7*A**8 - 13*A**7 + A**6 + 8*A**5 - 9*A**4 - 3*A**3 + 5*A**2 - A - 3,7_119,*,True,False,True,True,238,"b0,a0c0c3d3,b1d2e3b2,f3f2c1b3,g3h0h3c2,g1g0d1d0,f1f0h2e0,e1i0g2e2,h1","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,4,3],X[8,9,10,5],X[11,12,7,6],X[12,11,13,8],X[9,14,13,10],V[14]"
3_1,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d2 d1 b2) d=X(b3 c2 c1 e0) e=V(d3) ['name'='3_1'],A**14 + A**6 - A**2,0,A**(-4) + A**(-12) - 1/A**16,w**2 - 1 + w**(-2),A**13 + A**12 + 2*A**11 + 2*A**10 + 2*A**9 + A**8 + A**7 - A**6 - A**5 - 2*A**4 - A**3 + 1,3_1,*,True,False,True,True,3,"b0,a0c0c3d0,b1d2d1b2,b3c2c1e0,d3","V[0],X[0,1,2,3],X[1,4,5,2],X[3,5,4,6],V[6]"
6_81,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e3 b2) d=X(e2 f0 c1 b3) e=X(g3 g2 d0 c2) f=X(d1 g1 h0 g0) g=X(f3 f1 e1 e0) h=V(f2) ['name'='6_81'],-A**18 - 2*A**16 + A**14 + 4*A**12 + 2*A**10 - 2*A**8 - 2*A**6 + A**2,0,-A**12 - 2*A**10*L1 + A**8 + 4*A**6*L1 + 2*A**4 - 2*A**2*L1 - 2 + A**(-4),-2*w + 4/w + 2/w**2 - 2/w**3 - 1/w**4,-A**22 - A**21 + 3*A**20 - 3*A**18 + 4*A**17 + 2*A**16 - 4*A**15 + 2*A**14 + A**13 - 3*A**12 - A**10 + A**9 - 4*A**8 - A**7 + 3*A**6 - 5*A**5 - A**4 + 4*A**3 - 2*A**2 - A + 1,6_81,*,True,False,True,True,118,"b0,a0c0c3d3,b1d2e3b2,e2f0c1b3,g3g2d0c2,d1g1h0g0,f3f1e1e0,f2","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,4,3],X[8,9,6,5],X[7,10,11,12],X[12,10,9,8],V[11]"
6_82,a=V(b0) b=X(a0 c0 d3 e3) c=X(b1 e2 f3 d0) d=X(c3 f2 g3 b2) e=X(g2 f0 c1 b3) f=X(e1 g0 d1 c2) g=X(f1 h0 e0 d2) h=V(g1) ['name'='6_82'],-2*A**18 - A**16 + 4*A**14 + 4*A**12 - 2*A**10 - 4*A**8 + 3*A**4 - 1,0,-2*A**6*L1 - A**4 + 4*A**2*L1 + 4 - 2*L1/A**2 - 4/A**4 + 3/A**8 - 1/A**12,-2*w**3 - 2*w**2 + 4*w + 6 - 2/w - 4/w**2 + w**(-4),A**24 - A**23 - 3*A**22 + 2*A**21 + 4*A**20 - 4*A**19 - 2*A**18 + 8*A**17 - 3*A**16 - 7*A**15 + 6*A**14 - 4*A**12 + 4*A**11 + 4*A**10 + 2*A**9 - 3*A**8 + 6*A**7 + 3*A**6 - 9*A**5 + 3*A**4 + 4*A**3 - 7*A**2 - A + 3,6_82,*,True,False,True,True,119,"b0,a0c0d3e3,b1e2f3d0,c3f2g3b2,g2f0c1b3,e1g0d1c2,f1h0e0d2,g1","V[0],X[0,1,2,3],X[1,4,5,6],X[6,7,8,2],X[9,10,4,3],X[10,11,7,5],X[11,12,9,8],V[12]"
7_261,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 e0 f3 b2) d=X(f2 g0 e1 b3) e=X(c1 d2 g3 h0) f=X(h3 h2 d0 c2) g=X(d1 h1 i0 e2) h=X(e3 g1 f1 f0) i=V(g2) ['name'='7_261'],2*A**20 + A**18 - 4*A**16 - 3*A**14 + 2*A**12 + 4*A**10 - 2*A**6 + A**2,0,2*A**14*L1 + A**12 - 4*A**10*L1 - 3*A**8 + 2*A**6*L1 + 4*A**4 - 2 + A**(-4),2*w**3 + 2*w**2 - 4*w - 4 + 2/w + 4/w**2 - 1/w**4,-A**25 - A**24 + 3*A**23 + 2*A**22 - 3*A**21 - A**20 + 5*A**19 - 3*A**18 - 7*A**17 + 6*A**16 - 4*A**14 + 3*A**13 + 2*A**12 - 3*A**10 + 4*A**9 - 8*A**7 + 2*A**6 + 3*A**5 - 6*A**4 - A**3 + 4*A**2 - 2,7_261,*,True,False,True,True,380,"b0,a0c0c3d3,b1e0f3b2,f2g0e1b3,c1d2g3h0,h3h2d0c2,d1h1i0e2,e3g1f1f0,g2","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,8,3],X[4,8,9,10],X[11,12,6,5],X[7,13,14,9],X[10,13,12,11],V[14]"
7_288,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e0 b2) d=X(e3 f0 c1 b3) e=X(c2 g3 f1 d0) f=X(d1 e2 h0 g0) g=X(f3 h2 h1 e1) h=X(f2 g2 g1 i0) i=V(h3) ['name'='7_288'],A**18 + 2*A**16 + A**14 - 4*A**12 - 4*A**10 + 2*A**8 + 6*A**6 + 2*A**4 - 3*A**2 - 2,2*t - 4 + 2/t,A**(-12) + 2*L1/A**14 + A**(-16) - 4*L1/A**18 - 4/A**20 + 2*L1/A**22 + 6/A**24 + 2*L1/A**26 - 3/A**28 - 2*L1/A**30,w**6 + 2*w**5 + w**4 - 4*w**3 - 4*w**2 + 2*w + 5 + 2/w - 3/w**2 - 2/w**3 + w**(-4),A**29 + A**28 - 2*A**27 - A**26 + 7*A**25 - 7*A**23 + 7*A**22 + 7*A**21 - 10*A**20 + 11*A**18 - 5*A**17 - 3*A**16 + 8*A**15 - 5*A**13 - 3*A**12 + 8*A**11 - 7*A**10 - 9*A**9 + 12*A**8 - 2*A**7 - 8*A**6 + 5*A**5 + 3*A**4 - 3*A**3 - A**2 + A + 1,7_288,*,True,False,True,True,407,"b0,a0c0c3d3,b1d2e0b2,e3f0c1b3,c2g3f1d0,d1e2h0g0,f3h2h1e1,f2g2g1i0,h3","V[0],X[0,1,2,3],X[1,4,5,2],X[6,7,4,3],X[5,8,9,6],X[7,9,10,11],X[11,12,13,8],X[10,13,12,14],V[14]"
